index,Gend,Complete probability,Complete samples,Error,Mean length,Total samples
0.0,0.0,0.0354,70.8,0.0,16.172,2000.0
0.5,0.5,0.055200000000000006,110.4,0.0,16.4212,2000.0
1.0,1.0,0.0915,183.0,0.0,16.8395,2000.0
1.5,1.5,0.1347,269.4,0.0,17.4404,2000.0
2.0,2.0,0.2171,434.2,0.0,18.773600000000002,2000.0
2.5,2.5,0.3095,619.0,0.0,20.023899999999998,2000.0
3.0,3.0,0.4257000000000001,851.4,0.0,21.7053,2000.0
3.5,3.5,0.556,1112.0,0.0,23.6361,2000.0
4.0,4.0,0.6653,1330.6,0.0,25.1428,2000.0
4.5,4.5,0.7712999999999999,1542.6,0.0,26.694100000000002,2000.0
5.0,5.0,0.8532,1706.4,0.0,27.8882,2000.0
5.5,5.5,0.909,1818.0,0.0,28.6505,2000.0
6.0,6.0,0.944,1888.0,0.0,29.184800000000003,2000.0
6.5,6.5,0.9621999999999999,1924.4,0.0,29.434500000000003,2000.0
7.0,7.0,0.9682999999999999,1936.6,0.0,29.4517,2000.0
7.5,7.5,0.9724,1944.8,0.0,29.5031,2000.0
8.0,8.0,0.9643,1928.6,0.0,29.261899999999997,2000.0
8.5,8.5,0.9613999999999999,1922.8,0.0,29.2249,2000.0
9.0,9.0,0.9568,1913.6,0.0,29.1036,2000.0
9.5,9.5,0.9556000000000001,1911.2,0.0,29.0759,2000.0
10.0,10.0,0.9529,1905.8,0.0,28.957100000000004,2000.0
10.5,10.5,0.9515,1903.0,0.0,28.9223,2000.0
11.0,11.0,0.9480999999999999,1896.2,0.0,28.8539,2000.0
11.5,11.5,0.9508000000000001,1901.6,0.0,28.9156,2000.0
12.0,12.0,0.9469,1893.8,0.0,28.7928,2000.0
12.5,12.5,0.9469,1893.8,0.0,28.796999999999997,2000.0
13.0,13.0,0.9433,1886.6,0.0,28.7058,2000.0
13.5,13.5,0.9460000000000001,1892.0,0.0,28.7632,2000.0
14.0,14.0,0.9429000000000001,1885.8,0.0,28.696800000000003,2000.0
14.5,14.5,0.9397,1879.4,0.0,28.595,2000.0
15.0,15.0,0.9352,1870.4,0.0,28.4321,2000.0
15.5,15.5,0.9265000000000001,1853.0,0.0,28.2083,2000.0
16.0,16.0,0.9163,1832.6,0.0,27.9312,2000.0
16.5,16.5,0.8976,1795.2,0.0,27.4291,2000.0
17.0,17.0,0.8718999999999999,1743.8,0.0,26.674400000000002,2000.0
17.5,17.5,0.8285,1657.0,0.0,25.4391,2000.0
18.0,18.0,0.7731999999999999,1546.4,0.0,23.8895,2000.0
18.5,18.5,0.7042999999999999,1408.6,0.0,21.921799999999998,2000.0
19.0,19.0,0.6173,1234.6,0.0,19.4602,2000.0
19.5,19.5,0.5248999999999999,1049.8,0.0,16.863999999999997,2000.0
20.0,20.0,0.4436,887.2,0.0,14.5387,2000.0
20.5,20.5,0.3766,753.2,0.0,12.6678,2000.0
21.0,21.0,0.33008252065177474,617.6,0.0,11.334934560295096,1871.0
21.5,21.5,0.3011506156050692,530.4,0.0,10.539758392571903,1762.0
22.0,22.0,0.28259546898491456,484.2,0.0,10.026065618185232,1713.8
22.5,22.5,0.2800636661395785,465.2,0.0,10.005216027180161,1661.4
23.0,23.0,0.29342180291920783,473.8,0.0,10.404073953747098,1615.6
23.5,23.5,0.3186935179435454,521.8,0.0,11.147761424462502,1637.2
24.0,24.0,0.37023559659392147,608.2,0.0,12.674490752494519,1642.8
24.5,24.5,0.4343463341626978,765.0,0.0,14.55304706437542,1761.0
25.0,25.0,0.5664297524742419,1085.0,0.0,18.273829821819053,1916.6
25.5,25.5,0.7548,1509.6,0.0,23.542,2000.0
26.0,26.0,0.9089,1817.8,0.0,28.032,2000.0
26.5,26.5,0.9148,1829.6,0.0,28.6399,2000.0
27.0,27.0,0.8569000000000001,1713.8,0.0,27.8761,2000.0
27.5,27.5,0.7838,1567.6,0.0,26.925800000000002,2000.0
28.0,28.0,0.6766,1353.2,0.0,25.3286,2000.0
28.5,28.5,0.5532,1106.4,0.0,23.4232,2000.0
29.0,29.0,0.4321,864.2,0.0,21.7662,2000.0
29.5,29.5,0.30839999999999995,616.8,0.0,19.9635,2000.0
30.0,30.0,0.21239999999999998,424.8,0.0,18.5084,2000.0
30.5,30.5,0.1366,273.2,0.0,17.5101,2000.0
31.0,31.0,0.0945,189.0,0.0,16.9984,2000.0
31.5,31.5,0.05469999999999999,109.4,0.0,16.4135,2000.0
32.0,32.0,0.0376,75.2,0.0,16.1464,2000.0
32.5,32.5,0.023,46.0,0.0,15.978,2000.0
33.0,33.0,0.013599999999999998,27.2,0.0,15.7397,2000.0
33.5,33.5,0.0079,15.8,0.0,15.739700000000003,2000.0
34.0,34.0,0.0054,10.8,0.0,15.6354,2000.0
34.5,34.5,0.0036,7.2,0.0,15.638299999999997,2000.0
35.0,35.0,0.0019000000000000002,3.8,0.0,15.680700000000002,2000.0
35.5,35.5,0.0011,2.2,0.0,15.521599999999998,2000.0
36.0,36.0,0.0004,0.8,0.0,15.569700000000001,2000.0
36.5,36.5,0.0004,0.8,0.0,15.627100000000002,2000.0
37.0,37.0,0.0002,0.4,0.0,15.5101,2000.0
37.5,37.5,0.0,0.0,,15.4786,2000.0
38.0,38.0,0.00030000000000000003,0.6,0.0,15.5243,2000.0
38.5,38.5,0.0,0.0,,15.576699999999999,2000.0
39.0,39.0,0.0001,0.2,0.0,15.5548,2000.0
39.5,39.5,0.0,0.0,,15.6358,2000.0
40.0,40.0,0.0,0.0,,15.6542,2000.0
